Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Total,Max,802,DT,92.96,90.07,91.26,90.65,0.5826478004455566,0.4,0.98
Total,Max,802,KNN3,92.44,86.61,92.34,89.08,0.06144452095031738,0.4,0.46
Total,Max,802,KNN7,89.94,82.55,91.1,85.91,0.06152915954589844,0.4,0.46
Total,Max,802,ETC100,97.25,94.33,97.73,95.91,1.6215920448303223,0.4,2.02
Total,Max,802,ETC50,97.12,93.81,97.63,95.58,0.8264193534851074,0.4,1.23
Total,Max,802,ETC25,96.97,93.37,97.62,95.31,0.4293203353881836,0.4,0.83
Total,Max,802,ETC10,96.7,93.1,97.63,95.16,0.19063448905944824,0.4,0.59
Total,Max,802,RFC100,96.22,93.09,96.92,94.86,6.864879608154297,0.4,7.26
Total,Max,802,RFC50,96.07,92.74,97.01,94.69,3.4239447116851807,0.4,3.82
Total,Max,802,RFC25,95.94,92.57,96.82,94.51,1.7459311485290527,0.4,2.15
Total,Max,802,RFC10,95.38,91.68,96.49,93.85,0.7061581611633301,0.4,1.11
Total,Min,802,DT,93.05,90.81,90.69,90.74,0.6139552593231201,0.4,1.01
Total,Min,802,KNN3,92.76,86.33,93.49,89.33,0.06165122985839844,0.4,0.46
Total,Min,802,KNN7,90.1,81.14,92.33,85.27,0.06154441833496094,0.4,0.46
Total,Min,802,ETC100,96.94,94.71,97.07,95.83,1.6567225456237793,0.4,2.06
Total,Min,802,ETC50,97.03,94.86,97.31,96.02,0.8439779281616211,0.4,1.24
Total,Min,802,ETC25,96.77,94.34,96.76,95.48,0.44175148010253906,0.4,0.84
Total,Min,802,ETC10,96.62,94.15,96.91,95.46,0.19181442260742188,0.4,0.59
Total,Min,802,RFC100,96.13,93.46,96.69,94.96,7.163564205169678,0.4,7.56
Total,Min,802,RFC50,96.02,93.21,96.51,94.74,3.555710554122925,0.4,3.96
Total,Min,802,RFC25,95.75,92.85,96.32,94.46,1.7910771369934082,0.4,2.19
Total,Min,802,RFC10,95.55,92.29,96.05,94.03,0.7290332317352295,0.4,1.13
Total,Mean,802,DT,92.12,89.23,91.29,90.22,0.821019172668457,0.4,1.22
Total,Mean,802,KNN3,91.15,82.81,90.68,85.97,0.06218123435974121,0.4,0.46
Total,Mean,802,KNN7,88.67,77.14,90.74,81.6,0.062424659729003906,0.4,0.46
Total,Mean,802,ETC100,96.33,93.0,96.91,94.79,1.726353406906128,0.4,2.13
Total,Mean,802,ETC50,96.3,93.07,96.89,94.83,0.8852434158325195,0.4,1.29
Total,Mean,802,ETC25,96.18,93.24,96.81,94.89,0.4588608741760254,0.4,0.86
Total,Mean,802,ETC10,95.82,92.57,96.52,94.39,0.20208406448364258,0.4,0.6
Total,Mean,802,RFC100,95.03,91.4,96.26,93.57,7.959044694900513,0.4,8.36
Total,Mean,802,RFC50,94.82,91.17,96.11,93.37,3.998835802078247,0.4,4.4
Total,Mean,802,RFC25,94.51,90.79,95.77,93.01,2.023676633834839,0.4,2.42
Total,Mean,802,RFC10,93.76,89.35,94.97,91.83,0.830143928527832,0.4,1.23
Total,StandardDeviation,802,DT,83.38,78.2,78.83,78.51,0.7986342906951904,0.4,1.2
Total,StandardDeviation,802,KNN3,83.2,74.16,83.94,77.8,0.06081032752990723,0.4,0.46
Total,StandardDeviation,802,KNN7,83.97,73.5,85.25,77.56,0.060626983642578125,0.4,0.46
Total,StandardDeviation,802,ETC100,89.85,83.64,91.96,87.04,1.8700997829437256,0.4,2.27
Total,StandardDeviation,802,ETC50,89.67,83.17,91.82,86.67,0.9450943470001221,0.4,1.35
Total,StandardDeviation,802,ETC25,89.11,82.61,91.18,86.09,0.4904346466064453,0.4,0.89
Total,StandardDeviation,802,ETC10,88.21,81.41,89.66,84.76,0.2149338722229004,0.4,0.61
Total,StandardDeviation,802,RFC100,89.35,82.85,91.01,86.19,8.060193061828613,0.4,8.46
Total,StandardDeviation,802,RFC50,89.31,82.66,90.62,85.92,4.051084041595459,0.4,4.45
Total,StandardDeviation,802,RFC25,88.73,81.74,90.29,85.19,2.0198957920074463,0.4,2.42
Total,StandardDeviation,802,RFC10,87.93,80.86,89.32,84.27,0.8370561599731445,0.4,1.24
