Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Dynamic,401,DT,0.67,0.27,0.44,0.28,0.14,0.6,0.74
Dynamic,401,KNN3,0.89,0.81,0.84,0.82,0.02,0.6,0.62
Dynamic,401,KNN5,0.88,0.78,0.82,0.8,0.02,0.6,0.62
Dynamic,401,ETC100,0.97,0.94,0.98,0.96,0.63,0.6,1.23
Dynamic,401,ETC50,0.97,0.93,0.98,0.95,0.32,0.6,0.92
Dynamic,401,ETC25,0.96,0.94,0.97,0.95,0.17,0.6,0.77
Dynamic,401,ETC10,0.95,0.92,0.95,0.93,0.08,0.6,0.68
Dynamic,401,RFC100,0.94,0.89,0.95,0.91,2.26,0.6,2.86
Dynamic,401,RFC50,0.94,0.88,0.95,0.91,1.12,0.6,1.72
Dynamic,401,RFC25,0.94,0.88,0.95,0.91,0.58,0.6,1.18
Dynamic,401,RFC10,0.93,0.88,0.93,0.9,0.23,0.6,0.83
